,filename,artist,title,style,genre,date
2799,18415.jpg,8265ed16345a1f196ffcfd7cffe5158e,Vicinity of Kiev. Over the Dnieper.,Realism,landscape,1884
2489,100900.jpg,7e4dc558dfaf1fde7eb908e370393d00,Portrait of a Schoolboy,Impressionism,portrait,1879
2678,16057.jpg,9b97b479032a80f1d0b12175e1360a22,Caught in the Ice,Romanticism,marina,1882
1789,17624.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,"Anna Dollfus, Baronness de Bourgoing",Neo-Rococo,portrait,1855
2227,100125.jpg,234c8d1df0b49b512791078cf00cf352,Seine at Bougival,Impressionism,landscape,1873
1379,12831.jpg,facb8013e0ad77b41ecbdf661f440c03,Mameluke defending wounded trumpete ,Romanticism,battle painting,1818
1615,1935.jpg,1c5808517b3b9560b277eaae7adfabfc,Portrait of D. P. Voyeikov with His Daughter and the Governess Miss Sorock,Romanticism,portrait,1842
2075,101931.jpg,129349585c3d1f312535b6619fc36bf7,Young Italian with Sour Oranges,Romanticism,portrait,1870
3017,10182.jpg,e22b8239a9abc7940231ea66b969c6b9,Interior of the Church of St. John the Evangelist on the Ishna near Rostov Yaroslavsky,Realism,interior,1888
2944,18228.jpg,31dbc08b8d0a3196c5484c0c068b2bcc,The Park ,Impressionism,genre painting,1887
3598,14069.jpg,234c8d1df0b49b512791078cf00cf352,Geese,Post-Impressionism,animal painting,1897
2417,16846.jpg,a6027a4ba71b61a55ea598379c9d508c,Singer with a glove,Impressionism,portrait,1878
3081,1165.jpg,342d7068656b00878b23e1031a3ddf50,Portrait of Nadezhda Derviz with Her Child,Impressionism,portrait,1889
2958,13321.jpg,6f80666437feea42f295cdc0f1eb4df9,"Trouville, the Port at Low Tide",Impressionism,marina,1887
3445,100599.jpg,512fb34e01bd21a92e7ec1380577c985,Springtime. The Last Snow.,Realism,landscape,1895
3143,18940.jpg,ede1514454e88b491065d3d9ec6e7197,Mountains,Impressionism,landscape,1890
1515,19719.jpg,57bbc1b439f3913ea7f467ac5ccaac31,Peaceable Kingdom ,Naïve Art (Primitivism),religious painting,1832
2351,19520.jpg,8a1a67964c0cbea29fc9801b5c42c553,Forest River. Siverskaya,Realism,sketch and study,1876
2795,15230.jpg,7a91e9cd90caf6f6feef463e40b84513,Girl Fishing,Realism,genre painting,1884
3097,17426.jpg,3cc9a44380296d93e68b71a27643c25f,Mountains in Provence,Post-Impressionism,landscape,1890
3122,1814.jpg,d8a3c897c506be7de91d8f892f14f934,Au Bois de Boulogne,Art Nouveau (Modern),illustration,1890
3968,14334.jpg,43ca4d3d90730bed8a652aaa68eb9e10,"Jardín de las Elegías, Son Moragues",Post-Impressionism,landscape,1903
6697,13186.jpg,38957aef2daa53ed07c91e4e94db41ec,Powidok słońca,Art Informel,abstract,1949
6530,13143.jpg,3937af6d364e2f24d1cce16fe3916536,Favorable omens,Surrealism,symbolic painting,1944
7927,162.jpg,fed589fddf19274989ba078ca0c1c125,Marbles XI,Photorealism,still life,1984
6462,17667.jpg,95170250b9a5101b11db6d60acfc9f86,Kokopelli with Snow,Precisionism,still life,1942
4168,11792.jpg,4b0465826ffd6db797ea6f3a5898df79,Rock Cliffs by the Sea in Britain,Post-Impressionism,landscape,1906
5232,13068.jpg,d8a3c897c506be7de91d8f892f14f934,L'Aisne Devastee ,,,1918
7241,10829.jpg,19e08b713138f86ffd2c42866f14cddd,Funerary Composition I,Expressionism,genre painting,1962
7953,14881.jpg,db85b84c1c01fa143b9294f00f7acbeb,Untitled,Color Field Painting,abstract,1985
6513,12156.jpg,8f917f19a28b7510774110e50c95de56,"A PORTRAIT OF A CAPE COLOURED SCHOOL TEACHER, OMAR ",Expressionism,portrait,1943
6806,18201.jpg,1d3da72424d2efdb9a44d7fe9b3d955f,La poissonnerie,Miserablism,genre painting,1951
4859,100209.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,The door of Bulagaio,Magic Realism,landscape,1913
3801,13123.jpg,6941b13e29b1abf0da02c3c64940ef08,Profile,Impressionism,portrait,1900
6654,102147.jpg,5c147c5e335fa44f75dcbf7ac11a4f97,Chrysanthemum and loquat ,Ink and wash painting,flower painting,1948
4106,14234.jpg,63d07e05a423fa94e6a21aa7931b395f,Droomlandschap,Symbolism,landscape,1905
4331,1567.jpg,d105584f25708b3f695175a6b3871fe1,Panel 2. Zephyr Transporting Psyche to the Island of Delight,Symbolism,mythological painting,1908
4561,17278.jpg,769fd20b5a94abceedf78a99a71c1134,Costume design for The Firebird,Art Nouveau (Modern),design,1910
7668,19026.jpg,5a98f9e90e9ee706df88fcedab15677e,"Sing, Sing, Sing",Color Field Painting,abstract,1974
4789,1151.jpg,c7410238d399d9f454123e59b059fdd2,Grapes,Synthetic Cubism,still life,1913
4012,101081.jpg,3cc9a44380296d93e68b71a27643c25f,Bathers ,Cubism,genre painting,1904
7351,19977.jpg,de2b86e2c10497d54b651f0ea2549e7f,Untitled,Art Informel,abstract,1965
5850,13998.jpg,20ad4b8323d892d215b6b11c7476ef78,Santissima Trinita,,,1928
5860,12296.jpg,8cdd41002b7b5c5d112865054a7fe13e,Mask Dance,Expressionism,genre painting,1929
7773,1566.jpg,84640d322395ab21273a7d1141c47888,"Umea, Sweden",Abstract Expressionism,abstract,1979
6763,102000.jpg,ff5bb5557d34e6917582a0cff39a3cba,Horse,Ink and wash painting,animal painting,1950
7626,10306.jpg,d58454fbcc119df2732d539e597a450c,"Duration Piece # 77, Brussels",Conceptual Art,figurative,1973
7233,10612.jpg,485d901dc4df30b128bf01cb6e229767,Siamese Buddha,Sōsaku hanga,religious painting,1962
6924,10175.jpg,f6d10193caa656ffc151450ded186d93,Figure with Eyes Closed,Sōsaku hanga,portrait,1955
7676,102839.jpg,fe9ac11c0a84db1a5c60adb65af405e8,Serigrafia,Op Art,abstract,1975
8121,102027.jpg,f5cf1334fc77a4c794a582dc66c34cf9,Wink,Color Field Painting,abstract,1996
4185,100060.jpg,0eeac4ecff259dc515be795e1a76019a,Province (Kostroma),Art Nouveau (Modern),genre painting,1906
4528,13317.jpg,db1318d32df7428076e03513ebf762bb,Vase of Flowers,Realism,flower painting,1910
6137,16321.jpg,3f8dc381ccfe9d5cc88b75970262715b,Illustration for book by V. Totovents 'Life on the old Roman road',Expressionism,illustration,1934
4858,11713.jpg,ca78f8137ecbaf034d32c19a8f988310,Two Dancers,Expressionism,symbolic painting,1913
7622,14790.jpg,43dace6fcbe36bed2b70355cd37b01bd,Untitled,Art Informel,abstract,1973
4411,17600.jpg,be80d7a4e112407465a49e215d44a61e,Paradise,Symbolism,symbolic painting,1909
5444,17669.jpg,1468ab18764365ded902fc726aec2c89,Perfume,Expressionism,allegorical painting,1921
6438,11283.jpg,5a98f9e90e9ee706df88fcedab15677e,La Maison de Madame Lucien Robitaille ,Social Realism,landscape,1941
7010,102900.jpg,c2c4a3969452c74d1f4fb9e9d3d5b366,A coachman and a nurse.Costume design,Art Nouveau (Modern),design,1957
5510,14623.jpg,8fc27c0692da2bccf57cdea68129db00,Bridge with griffins,Art Nouveau (Modern),cityscape,1922
6435,11566.jpg,62b4406512c45730d2c7c40f5e3d0d12,Napoleon in the Wilderness,Surrealism,symbolic painting,1941
4392,14729.jpg,24aa3b8d132a64607956435cbcb4abfd,Porträt Frau Cuhrt ,Post-Impressionism,portrait,1908
3755,11265.jpg,062244b785e58518f2f189329633c59e,Crane,Art Nouveau (Modern),illustration,1900
5813,17827.jpg,0d7b9ca487e6b4665f70ba1b77604fd2,Surrealist Composition,Surrealism,abstract,1928
5777,18601.jpg,c5789fb341de0b47c7bf5ac0817fe0d9,Portrait,Expressionism,portrait,1927
3815,19902.jpg,aefb0cff142e18c62467d35f2bc0eb4f,Study of Clouds,Symbolism,cloudscape,1900
7153,101513.jpg,d7b7249d6638477b3073df86f60a43a0,The Library,Social Realism,genre painting,1960
4206,19611.jpg,795985c5c0e7c704a354a487bdffeef5,Santa Marguerite,Post-Impressionism,landscape,1906
6117,15276.jpg,62b4406512c45730d2c7c40f5e3d0d12,"Illustration to ""A Week of Kindness""",Surrealism,illustration,1934
5538,16671.jpg,f5cd5910c4ad9657ed58a3c86481969c,Two Peasant Women,Post-Impressionism,genre painting,1923
8219,101105.jpg,eff6f5efcf5e9755d0a3afbc25acc1bc,Mother of Fraternity,Primitivism,symbolic painting,2010
8161,12918.jpg,f6c6a373599e3f2278c218d70a75168c,Marc per,Art Informel,abstract,2000
8169,17604.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,2001
8175,15085.jpg,5ae394770a82dac7cea5d95ef6482a11,Grandmother and Cat ,Abstract Expressionism,symbolic painting,2002
8177,11178.jpg,6699dc3bdc97a9dfdbdfd608d09ce7ae,14-10-2002,Lyrical Abstraction,abstract,2002
8221,100970.jpg,24992a1ddca2a38675f62a88ff93f8a6,Big Bite,Pop Art,figurative,2010
8218,12533.jpg,458431fe04f1f956c7e4fba23563c694,Mistral de partout,Lyrical Abstraction,abstract,2010
8226,14541.jpg,f728aafab36400a26539fd7bda35c334,Untitled (NYC),Abstract Expressionism,abstract,2011
8217,10615.jpg,3007fcba96d9941a481321b6367721a1,Yesterday’s Clouds,,cloudscape,2010
8188,12253.jpg,72e4cf6742c06e89acfef9af033af54f,Flores e Frutas,Naïve Art (Primitivism),still life,2003
8220,13130.jpg,24992a1ddca2a38675f62a88ff93f8a6,Splashed,Pop Art,figurative,2010
8201,102722.jpg,4a2c72301bd31803c9827b7baf86c706,Still life with bottle and shells,Naïve Art (Primitivism),still life,2006
8154,10701.jpg,dc1660b026c50e483aa01614aade646d,Couleur electrique lumière,Op Art,abstract,2000
8168,11145.jpg,1cdfd8192834e61b3543e3ce839950eb,Lotus under the sun,Ink and wash painting,flower painting,2001
8205,13460.jpg,af81d1a9ef7c4e613b32e9741c062bb9,"Untitled, (Blooming, A Scattering of Blossoms & Other Things)",Abstract Expressionism,flower painting,2007
8202,19024.jpg,bdb4e548508f23d25558604e7dd073c3,Trap,New Casualism,abstract,2006
8216,18666.jpg,80646b4fc4794d211d21ae99b8e1e44c,Flow,Tachisme,abstract,2010
8222,13898.jpg,24992a1ddca2a38675f62a88ff93f8a6,Girl with Pearl,Pop Art,figurative,2010
8174,19627.jpg,4a2c72301bd31803c9827b7baf86c706,Feathers and Shells,Naïve Art (Primitivism),still life,2001
8167,10608.jpg,5e560e9b2ae0c20cfc57b308742bc677,Small Portait,Expressionism,portrait,2001
8197,10678.jpg,bdb4e548508f23d25558604e7dd073c3,Untitled,New Casualism,abstract,2004
8191,10054.jpg,67b219f3763c04d3803b610993492fd1,Painting #03-06,Minimalism,abstract,2003
8158,102898.jpg,c3cf19679f72b9c335bb247c42bdbf4b,Traces,Minimalism,abstract,2000
8160,1207.jpg,61c824f7d11a59e4a5c3297c48c4715c,Joanna's Marsh,Contemporary Realism,landscape,2000
8159,10217.jpg,c79d591f5d9a2fcf8a1df2e2de4dc8e4,Crystals,Cubism,abstract,2000
8215,18488.jpg,80646b4fc4794d211d21ae99b8e1e44c,Dance of the Iele,Tachisme,abstract,2010
8156,12822.jpg,3007fcba96d9941a481321b6367721a1,American Horizon,,cloudscape,2000
8157,1613.jpg,c3cf19679f72b9c335bb247c42bdbf4b,Untitled,Minimalism,abstract,2000
8162,17101.jpg,5e560e9b2ae0c20cfc57b308742bc677,Julie and Martin,Expressionism,nude painting (nu),2001
8178,14171.jpg,458431fe04f1f956c7e4fba23563c694,Il ment jamais,Art Informel,abstract,2002
8189,18213.jpg,1cdfd8192834e61b3543e3ce839950eb,Kites Seen Again,Ink and wash painting,figurative,2003
8208,12211.jpg,4a2c72301bd31803c9827b7baf86c706,The Moon,Naïve Art (Primitivism),still life,2008
8186,19394.jpg,67e4b2878704dc7c6c571a495883092b,Untitled,Art Informel,abstract,2003
8200,11731.jpg,bdb4e548508f23d25558604e7dd073c3,Steek 1,New Casualism,abstract,2005
8165,16356.jpg,1cdfd8192834e61b3543e3ce839950eb,Attachment,Ink and wash painting,abstract,2001
8184,101085.jpg,72e4cf6742c06e89acfef9af033af54f,Tie Vermelho e Romã,Naïve Art (Primitivism),animal painting,2003
8187,14254.jpg,2e1c098c67bc11e0885c79ee8af0f61a,Untitled,Abstract Expressionism,abstract,2003
8152,12715.jpg,c31b03be3da5810b44ea4782d2f3b8a0,Sky Reach,Magic Realism,landscape,2000
8176,13698.jpg,61c824f7d11a59e4a5c3297c48c4715c,Trees Reflected on Ice,Contemporary Realism,landscape,2002
8185,15060.jpg,6a35f566597c2b9d9bc1d27b90471a1f,A Love in Casablanca,Nouveau Réalisme,figurative,2003
8225,19840.jpg,5887d1eab497e32e03c67b4d2f0f8e8b,Before Time (Mysteries 12) 05-01-11,Abstract Expressionism,abstract,2011
8196,16050.jpg,54949603ae17ee857a72e644002d0bf2,Balloons,Naïve Art (Primitivism),landscape,2004
8194,19683.jpg,5ae394770a82dac7cea5d95ef6482a11,The End,Fauvism,religious painting,2004
8170,11604.jpg,72e4cf6742c06e89acfef9af033af54f,Yellow Cat,Naïve Art (Primitivism),animal painting,2001
8181,15991.jpg,5aa46c4bd5cd785c39b45c221984838e,Oedipe explique l'énigme du sphinx,Op Art,figurative,2002
8163,13349.jpg,5ae394770a82dac7cea5d95ef6482a11,Coloured Vibrations,Cloisonnism,abstract,2001
8198,102219.jpg,f6c6a373599e3f2278c218d70a75168c,Rediscovering a known landscape,Art Informel,abstract,2004
8192,13571.jpg,6aa69777673a2102805a5a8619e1cc18,Union Libre (poem by André Breton embossed in Braille on a photograph),Conceptual Art,figurative,2004
8207,19619.jpg,dc1660b026c50e483aa01614aade646d,Couleur lumière,Op Art,abstract,2008
8153,13720.jpg,c31b03be3da5810b44ea4782d2f3b8a0,My Soul,Magic Realism,landscape,2000
